 ,Edge Area,, ,Binary Area,,PixelAvgArea,,,,,avg
1,0.576,,1,0.517,,0.596,,,,,0.563
2,0.508,,2,0.489,,0.607,,,,,0.534666667
3,0.616,,3,0.614,,0.496,,,,,0.575333333
4,0.552,,4,0.484,,0.447,,,,,0.494333333
5,0.561,,5,0.412,,0.741,,,,,0.571333333
6,0.597,,6,0.517,,0.529,,,,,0.547666667
7,0.536,,7,0.531,,0.444,,,,,0.503666667
8,0.559,,8,0.518,,0.452,,,,,0.509666667
9,0.487,,9,0.506,,0.57,,,,,0.521
10,0.516,,10,0.545,,0.422,,,,,0.494333333
11,0.642,,11,0.386,,0.359,,,,,0.462333333
12,0.624,,12,0.45,,0.361,,,,,0.478333333
13,0.558,,13,0.469,,0.43,,,,,0.485666667
14,0.545,,14,0.5,,0.511,,,,,0.518666667
15,0.462,,15,0.567,,0.674,,,,,0.567666667
16,0.52,,16,0.485,,0.506,,,,,0.503666667
17,0.657,,17,0.58,,0.53,,,,,0.589
18,0.624,,18,0.481,,0.293,,,,,0.466
19,0.526,,19,0.563,,0.562,,,,,0.550333333
20,0.583,,20,0.575,,0.604,,,,,0.587333333
